term,estimate,std.error
ar1,0.48867499816747295,0.20156974096710767
ma1,-0.7703783688736356,0.19888925454041523
ma2,0.09254642326222699,0.09304967608491568
ma3,0.13529124231358164,0.07471714010369251
ma4,-0.24058096993204195,0.06106637495726453
intercept,1832.9872954805962,232.75399890315614
